date,favorites,geo,hashtags,id,mentions,permalink,retweets,text,username
2018-03-29 10:18:47,7,,#ML #socialgood #socialgoodtech,979362237826531330,,https://twitter.com/SawakoSono/status/979362237826531330,4,"A3: As with any technology, there is an access issue. Although there are so many ways #ML can be used to support #socialgood , many nonprofits are still struggling with simply gathering data or won’t be able to afford data scientists. #socialgoodtech https:// twitter.com/plus_socialgoo d/status/979361596349624320 …",SawakoSono
2018-03-12 10:57:22,8,,#LeanDigitalSpeedway #NextGen #Tech #SocialGood #blockchain #ML #sxsw,973211351245033472,@ciandt @thatroyce @Kmoote @thesarahpotts @bwetch,https://twitter.com/aurlibokovza/status/973211351245033472,1,Amazing start to @ciandt #LeanDigitalSpeedway day of panels with the Imagine a World: #NextGen #Tech for #SocialGood panel covering topics incl #blockchain #ML and how we can harness its powers for a social cause. @thatroyce @Kmoote @thesarahpotts @bwetch #sxsw pic.twitter.com/wRwfcTbYZp,aurlibokovza
2018-03-12 10:30:46,11,,#NextGen #Tech #SocialGood #blockchain #ML #LeanDigitalSpeedway #SXSW #SXSW2018,973204656892600321,@thatroyce @Kmoote @thesarahpotts @bwetch,https://twitter.com/ciandt/status/973204656892600321,3,We’re super excited to start the day with the Imagine a World: #NextGen #Tech for #SocialGood panel. Ready to learn more about #blockchain #ML and how we can harness its powers for a social cause. @thatroyce @Kmoote @thesarahpotts @bwetch #LeanDigitalSpeedway #SXSW #SXSW2018 pic.twitter.com/wdF9hRlCLK,ciandt
2018-03-10 10:05:21,11,,#LeanDigital #Tech #AI #ML #SocialGood #LeanDigitalSpeedway #SXSW,972488587055951872,@Revlon @CocaCola @JNJCares @Thorn @KnowTheChain,https://twitter.com/ciandt/status/972488587055951872,4,A 2-day countdown starts now! Are you ready for #LeanDigital #Tech #AI #ML #SocialGood and more with @Revlon @CocaCola @JNJCares @Thorn @KnowTheChain ? 2 MORE DAYS til #LeanDigitalSpeedway #SXSW You can still reserve your spot for our panels http:// bit.ly/2sHFcVF pic.twitter.com/2riVeLoVE6,ciandt
2018-03-04 23:20:02,3,,#NLP #NLG #NLU #CIO #CTO #AI #ML #MachineLearning #PredictiveAnalytics #SentimentAnalysis #ImageRecognition #Chatbots #EmergingTech #SocialGood #TechStrategy,970514249134067712,@TerenaBell @CIOonline,https://twitter.com/JennDark/status/970514249134067712,1,What is natural language processing? The business benefits of #NLP explained @TerenaBell @CIOonline #NLG #NLU #CIO #CTO #AI #ML #MachineLearning #PredictiveAnalytics #SentimentAnalysis #ImageRecognition #Chatbots #EmergingTech #SocialGood #TechStrategy http:// bit.ly/2oARSck,JennDark
2018-02-01 20:08:05,23,,#bigdata #AI #ML #socialgood,959231916724670466,@justingrimmer @math_rachel,https://twitter.com/thinkmariya/status/959231916724670466,14,"""For the analysis of #bigdata to truly yield answers to society’s biggest problems, we must recognize that it is as much about social science as it is about computer science,"" says @justingrimmer http:// stanford.io/2DPNuvX (H/T @math_rachel ) #AI #ML #socialgood pic.twitter.com/SxH5JPddIc",thinkmariya
2018-01-29 18:40:26,0,,#GrowthHacking #SocialMedia #EMail #PR #SocialGood #Passion #MakeItHappen #Ai #DataScience #ML #ViralMarketing #BrainIntelOps #BrainHealth #MentalHealth #CognitiveCoaching #MaritalIntelligence #Marriage #Wives #HusbandCare #DivorceProof,958122695996137473,@BHMOB90210USA @BHMOB90210USA,https://twitter.com/StanColemanRE/status/958122695996137473,0,#GrowthHacking #SocialMedia #EMail #PR For #SocialGood ! #Passion #MakeItHappen #Ai #DataScience #ML #ViralMarketing #BrainIntelOps #BrainHealth #MentalHealth #CognitiveCoaching @BHMOB90210USA #MaritalIntelligence #Marriage #Wives #HusbandCare #DivorceProof @BHMOB90210USA pic.twitter.com/7BN372v8zB,StanColemanRE
2018-01-09 15:47:29,0,,#ML #AI #socialgood,950831414722940929,,https://twitter.com/emcgettie/status/950831414722940929,0,"RT datapriestess: One more week left to apply for IBM Research Science for Social Good summer fellowships. Applications close on Monday, January 15th. If you are interested in #ML and #AI research and #socialgood applications, consider applying here: https:// ibm.biz/Bdj9iV IBM…",emcgettie
2018-01-08 12:58:58,28,,#ML #AI #socialgood,950426619713384450,@IBMResearch,https://twitter.com/datapriestess/status/950426619713384450,30,"One more week left to apply for IBM Research Science for Social Good summer fellowships. Applications close on Monday, January 15th. If you are interested in #ML and #AI research and #socialgood applications, consider applying here: https:// ibm.biz/Bdj9iV @IBMResearch",datapriestess
2017-12-27 22:40:36,1,,#AI #MachineLearning #ML #artificalintelligence #BusinessNews #SocialGood,946224335567704064,@Streampage,https://twitter.com/ZuzuDotAI/status/946224335567704064,1,RT @Streampage : How #AI and #MachineLearning will create social good and business success. #ML #artificalintelligence #BusinessNews #SocialGood https:// twitter.com/Oracle/status/ 946221970877661185 …,ZuzuDotAI
2017-12-27 22:36:32,2,,#AI #MachineLearning #ML #artificalintelligence #BusinessNews #SocialGood,946223312048332800,,https://twitter.com/Streampage/status/946223312048332800,0,How #AI and #MachineLearning will create social good and business success. #ML #artificalintelligence #BusinessNews #SocialGood https:// twitter.com/Oracle/status/ 946221970877661185 …,Streampage
2017-12-21 03:55:01,0,,#machinelearning #AI #socialgood #NIPS #2017 #ML #DL #aei,943766745193549824,,https://twitter.com/BPU_Holdings/status/943766745193549824,0,"#machinelearning and #AI for #socialgood , views from #NIPS #2017 http:// robohub.org/machine-learni ng-and-ai-for-social-good-views-from-nips-2017/ … #ML #DL #aei",BPU_Holdings
2017-11-28 11:01:01,10,,#data #ML #AI #socialgood #aiforgood #GivingTuesday2017,935539033261817856,@IBMResearch,https://twitter.com/datapriestess/status/935539033261817856,12,"If you are a fan of #data , #ML , #AI and #socialgood : Our Science for Social Good Summer Fellowship is now open for applications. https:// ibm.biz/Bdj9iV @IBMResearch #aiforgood #GivingTuesday2017",datapriestess
2017-11-02 02:46:52,1,,#AI #hackathon #ML #DL #ArtificialIntelligence #SocialGood #womenintech,925977489834434561,,https://twitter.com/TowardsAI/status/925977489834434561,1,iAI Today! #AI #hackathon #ML #DL #ArtificialIntelligence #SocialGood #womenintech http://www. towards.ai/ai-news-ai-ini tiatives-iai-nov-1-2/ … Share. Subscribe. Comment.,TowardsAI
2017-09-18 04:44:21,1,,#AI #DataScience #EO #SocialGood #ML #startup,909699602118569984,,https://twitter.com/arevaju/status/909699602118569984,1,UNICEF Innovation Fund Call for Data Science & A.I. http:// unicefstories.org/datascienceAI/ #AI #DataScience #EO #SocialGood #ML #startup,arevaju
2017-06-07 15:11:00,7,,#AIforGood #ML #socialgood #DataScience,872531356865232896,,https://twitter.com/datapriestess/status/872531356865232896,0,Check out our new Science for Social Good webpage. https://www. research.ibm.com/science-for-so cial-good/ … #AIforGood #ML #socialgood #DataScience,datapriestess
